candidate_index	source_name	task_index	context	family	order_index	design_nll	chain_a_nll	chain_b_nll	chain_c_nll	chain_d_nll	chain_spread
21	OVA-C4-IPTM90-133	7	ova073_rosetta_bb4	OVA073_ROSETTA	0	1.1129608154296875	1.131803035736084	1.1243630647659302	1.1068943738937378	1.0887830257415771	0.043020009994506836
21	OVA-C4-IPTM90-133	7	ova073_rosetta_bb4	OVA073_ROSETTA	1	1.107723355293274	1.1984256505966187	1.0044076442718506	1.0188554525375366	1.2092047929763794	0.2047971487045288
21	OVA-C4-IPTM90-133	7	ova073_rosetta_bb4	OVA073_ROSETTA	2	1.1117521524429321	1.12708580493927	1.0429036617279053	1.1826558113098145	1.0943633317947388	0.13975214958190918
21	OVA-C4-IPTM90-133	7	ova073_rosetta_bb4	OVA073_ROSETTA	3	1.1314996480941772	1.0553383827209473	1.2407325506210327	1.1557278633117676	1.0741994380950928	0.18539416790008545
22	OVA-C4-IPTM90-199	7	ova073_rosetta_bb4	OVA073_ROSETTA	0	1.1077375411987305	1.103194236755371	1.117457389831543	1.1021140813827515	1.1081842184066772	0.015343308448791504
22	OVA-C4-IPTM90-199	7	ova073_rosetta_bb4	OVA073_ROSETTA	1	1.1056064367294312	1.1823701858520508	1.0339686870574951	1.003598690032959	1.2024879455566406	0.19888925552368164
22	OVA-C4-IPTM90-199	7	ova073_rosetta_bb4	OVA073_ROSETTA	2	1.1065791845321655	1.1207821369171143	1.0305233001708984	1.1715662479400635	1.1034444570541382	0.14104294776916504
22	OVA-C4-IPTM90-199	7	ova073_rosetta_bb4	OVA073_ROSETTA	3	1.092085599899292	0.9522499442100525	1.2292054891586304	1.1258517503738403	1.0610347986221313	0.2769555449485779
23	OVA-C4-IPTM90-182	7	ova073_rosetta_bb4	OVA073_ROSETTA	0	1.0832998752593994	1.0660415887832642	1.0892994403839111	1.08188796043396	1.0959709882736206	0.029929399490356445
23	OVA-C4-IPTM90-182	7	ova073_rosetta_bb4	OVA073_ROSETTA	1	1.0860204696655273	1.1671799421310425	0.9956927299499512	0.9959022402763367	1.1853070259094238	0.18961429595947266
23	OVA-C4-IPTM90-182	7	ova073_rosetta_bb4	OVA073_ROSETTA	2	1.0717118978500366	1.0698271989822388	0.9891522526741028	1.147217869758606	1.0806502103805542	0.15806561708450317
23	OVA-C4-IPTM90-182	7	ova073_rosetta_bb4	OVA073_ROSETTA	3	1.0677292346954346	0.9332438707351685	1.1798121929168701	1.1066603660583496	1.0512007474899292	0.24656832218170166
24	OVA-C4-IPTM90-015	7	ova073_rosetta_bb4	OVA073_ROSETTA	0	1.1044708490371704	1.1035557985305786	1.0821149349212646	1.089394211769104	1.1428182125091553	0.060703277587890625
24	OVA-C4-IPTM90-015	7	ova073_rosetta_bb4	OVA073_ROSETTA	1	1.0879759788513184	1.1397594213485718	1.0237131118774414	0.9993538856506348	1.1890777349472046	0.18972384929656982
24	OVA-C4-IPTM90-015	7	ova073_rosetta_bb4	OVA073_ROSETTA	2	1.1091641187667847	1.154763102531433	0.9894477725028992	1.1624736785888672	1.1299715042114258	0.17302590608596802
