system	model	iptm	has_clash	intended_pairs	expected_ss_bonds	observed_ss_bonds	chain_component	full_ss_ring	native_c74_c121_bonds	unexpected_ss_bonds	chemically_clean_ring	median_ss_distance_a	bonds_json	unexpected_bonds_json	cif_path
ova_body_c4_01_n3	seed-1_sample-3	0.84	0.0	96-190;155-196	6	6	3	1	3	0	1	2.0141677856445312	"[[""C"", ""A"", 96, 190, 1.940186619758606], [""A"", ""B"", 96, 190, 1.9410121440887451], [""B"", ""C"", 96, 190, 1.941148281097412], [""C"", ""A"", 155, 196, 2.0871872901916504], [""B"", ""C"", 155, 196, 2.091148853302002], [""A"", ""B"", 155, 196, 2.0945637226104736]]"	[]	experiments/e46_c23neg_ai01_stoichiometry/out_s1/ova_body_c4_01_n3/seed-1_sample-3/ova_body_c4_01_n3_seed-1_sample-3_model.cif
ova_body_c4_01_n3	seed-1_sample-4	0.84	0.0	96-190;155-196	6	6	3	1	3	0	1	2.009982168674469	"[[""B"", ""C"", 96, 190, 1.937157154083252], [""A"", ""B"", 96, 190, 1.9448906183242798], [""C"", ""A"", 96, 190, 1.9476207494735718], [""C"", ""A"", 155, 196, 2.072343587875366], [""B"", ""C"", 155, 196, 2.0842835903167725], [""A"", ""B"", 155, 196, 2.0857577323913574]]"	[]	experiments/e46_c23neg_ai01_stoichiometry/out_s1/ova_body_c4_01_n3/seed-1_sample-4/ova_body_c4_01_n3_seed-1_sample-4_model.cif
ova_body_c4_01_n3	seed-2_sample-0	0.85	0.0	96-190;155-196	6	6	3	1	3	0	1	2.010214149951935	"[[""A"", ""B"", 96, 190, 1.9455045461654663], [""C"", ""A"", 96, 190, 1.9488781690597534], [""B"", ""C"", 96, 190, 1.9525114297866821], [""A"", ""B"", 155, 196, 2.0679168701171875], [""B"", ""C"", 155, 196, 2.0717663764953613], [""C"", ""A"", 155, 196, 2.0748023986816406]]"	[]	experiments/e46_c23neg_ai01_stoichiometry/out_s1/ova_body_c4_01_n3/seed-2_sample-0/ova_body_c4_01_n3_seed-2_sample-0_model.cif
ova_body_c4_01_n3	seed-2_sample-1	0.85	0.0	96-190;155-196	6	6	3	1	3	0	1	1.9819674491882324	"[[""B"", ""C"", 96, 190, 1.9418960809707642], [""C"", ""A"", 96, 190, 1.9511765241622925], [""A"", ""B"", 96, 190, 1.9615161418914795], [""C"", ""A"", 155, 196, 2.0024187564849854], [""B"", ""C"", 155, 196, 2.0172863006591797], [""A"", ""B"", 155, 196, 2.021812915802002]]"	[]	experiments/e46_c23neg_ai01_stoichiometry/out_s1/ova_body_c4_01_n3/seed-2_sample-1/ova_body_c4_01_n3_seed-2_sample-1_model.cif
ova_body_c4_01_n3	seed-2_sample-2	0.85	0.0	96-190;155-196	6	6	3	1	3	0	1	2.0100470185279846	"[[""B"", ""C"", 96, 190, 1.9552128314971924], [""C"", ""A"", 96, 190, 1.9556291103363037], [""A"", ""B"", 96, 190, 1.9595683813095093], [""B"", ""C"", 155, 196, 2.06052565574646], [""A"", ""B"", 155, 196, 2.0734705924987793], [""C"", ""A"", 155, 196, 2.0759313106536865]]"	[]	experiments/e46_c23neg_ai01_stoichiometry/out_s1/ova_body_c4_01_n3/seed-2_sample-2/ova_body_c4_01_n3_seed-2_sample-2_model.cif
ova_body_c4_01_n3	seed-2_sample-3	0.85	0.0	96-190;155-196	6	6	3	1	3	0	1	2.0084322094917297	"[[""B"", ""C"", 96, 190, 1.9393259286880493], [""A"", ""B"", 96, 190, 1.9478061199188232], [""C"", ""A"", 96, 190, 1.9506336450576782], [""A"", ""B"", 155, 196, 2.0662307739257812], [""B"", ""C"", 155, 196, 2.081500768661499], [""C"", ""A"", 155, 196, 2.0822536945343018]]"	[]	experiments/e46_c23neg_ai01_stoichiometry/out_s1/ova_body_c4_01_n3/seed-2_sample-3/ova_body_c4_01_n3_seed-2_sample-3_model.cif
ova_body_c4_01_n3	seed-2_sample-4	0.85	0.0	96-190;155-196	6	6	3	1	3	0	1	2.010196268558502	"[[""A"", ""B"", 96, 190, 1.9154877662658691], [""B"", ""C"", 96, 190, 1.9220774173736572], [""C"", ""A"", 96, 190, 1.9364506006240845], [""B"", ""C"", 155, 196, 2.08394193649292], [""A"", ""B"", 155, 196, 2.091280221939087], [""C"", ""A"", 155, 196, 2.0921285152435303]]"	[]	experiments/e46_c23neg_ai01_stoichiometry/out_s1/ova_body_c4_01_n3/seed-2_sample-4/ova_body_c4_01_n3_seed-2_sample-4_model.cif
ova_body_c4_01_n3	seed-3_sample-0	0.83	0.0	96-190;155-196	6	6	3	1	3	0	1	2.0302308201789856	"[[""A"", ""B"", 96, 190, 1.8714220523834229], [""B"", ""C"", 96, 190, 1.8869376182556152], [""C"", ""A"", 96, 190, 1.8939775228500366], [""A"", ""B"", 155, 196, 2.1664841175079346], [""C"", ""A"", 155, 196, 2.1960341930389404], [""B"", ""C"", 155, 196, 2.202105760574341]]"	[]	experiments/e46_c23neg_ai01_stoichiometry/out_s1/ova_body_c4_01_n3/seed-3_sample-0/ova_body_c4_01_n3_seed-3_sample-0_model.cif
ova_body_c4_01_n3	seed-3_sample-1	0.83	0.0	96-190;155-196	6	6	3	1	3	0	1	2.043997645378113	"[[""B"", ""C"", 96, 190, 1.9534295797348022], [""C"", ""A"", 96, 190, 1.9738304615020752], [""A"", ""B"", 96, 190, 1.9849870204925537], [""A"", ""B"", 155, 196, 2.103008270263672], [""B"", ""C"", 155, 196, 2.1060080528259277], [""C"", ""A"", 155, 196, 2.136629104614258]]"	[]	experiments/e46_c23neg_ai01_stoichiometry/out_s1/ova_body_c4_01_n3/seed-3_sample-1/ova_body_c4_01_n3_seed-3_sample-1_model.cif
ova_body_c4_01_n3	seed-3_sample-2	0.83	0.0	96-190;155-196	6	6	3	1	3	0	1	2.049091160297394	"[[""C"", ""A"", 96, 190, 1.97128427028656], [""A"", ""B"", 96, 190, 1.9816327095031738], [""B"", ""C"", 96, 190, 1.983298420906067], [""C"", ""A"", 155, 196, 2.1148838996887207], [""A"", ""B"", 155, 196, 2.136425256729126], [""B"", ""C"", 155, 196, 2.1880528926849365]]"	[]	experiments/e46_c23neg_ai01_stoichiometry/out_s1/ova_body_c4_01_n3/seed-3_sample-2/ova_body_c4_01_n3_seed-3_sample-2_model.cif
ova_body_c4_01_n3	seed-3_sample-3	0.83	0.0	96-190;155-196	6	6	3	1	3	0	1	2.0820045471191406	"[[""A"", ""B"", 96, 190, 1.9406195878982544], [""B"", ""C"", 96, 190, 1.9466886520385742], [""C"", ""A"", 96, 190, 1.9639043807983398], [""B"", ""C"", 155, 196, 2.2001047134399414], [""A"", ""B"", 155, 196, 2.2097952365875244], [""C"", ""A"", 155, 196, 2.233100652694702]]"	[]	experiments/e46_c23neg_ai01_stoichiometry/out_s1/ova_body_c4_01_n3/seed-3_sample-3/ova_body_c4_01_n3_seed-3_sample-3_model.cif
ova_body_c4_01_n3	seed-3_sample-4	0.83	0.0	96-190;155-196	6	6	3	1	3	0	1	2.0719663500785828	"[[""A"", ""B"", 96, 190, 1.970260500907898], [""B"", ""C"", 96, 190, 1.976140022277832], [""C"", ""A"", 96, 190, 1.9891170263290405], [""B"", ""C"", 155, 196, 2.154815673828125], [""A"", ""B"", 155, 196, 2.165468692779541], [""C"", ""A"", 155, 196, 2.1781840324401855]]"	[]	experiments/e46_c23neg_ai01_stoichiometry/out_s1/ova_body_c4_01_n3/seed-3_sample-4/ova_body_c4_01_n3_seed-3_sample-4_model.cif
