system	model	iptm	ptm	atomic_clash_count_2p4	terminal_atomic_clash_count_2p4	nonterminal_atomic_clash_count_2p4	design_involved_atomic_clash_count_2p4	severe_ca_overlap_count_2p5	effective_interface_edges	effective_edge_list	largest_component	min_chain_degree	valid_c4_network	interface_type_count	interface_type_multiplicities	interface_type_edges	interface_type_design_counts	two_interfaces_each_design_ge3	contact_residue_pairs	interface_positions	design_interface_count	design_interface_fraction	design_interface_positions	native_c74_c121_bonds	interchain_ss_bonds	mean_chain_plddt	min_chain_plddt	mean_chain_ca_rmsd_to_1ova	max_chain_ca_rmsd_to_1ova	cif_path	source_system	seed
ova_body_c4_20_ms25_r03	seed-4_sample-3	0.85	0.87	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	3,4,8	1	224	48	13	0.8666666666666667	191,271,276,278,342,343,346,347,348,349,350,354,356	4	0	90.89858156411759	90.83569923954306	1.651132198770924	1.6552084912664695	/root/400083/ova_p3_tetramer_design/experiments/e290_e289_top4_af3_multiseed/out_s10/ova_body_c4_20_ms25_r03/seed-4_sample-3/ova_body_c4_20_ms25_r03_seed-4_sample-3_model.cif	ova_body_c4_20	4
ova_body_c4_20_ms25_r03	seed-4_sample-4	0.85	0.88	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,4,8	1	236	48	13	0.8666666666666667	191,271,276,278,342,343,346,347,348,349,350,354,356	4	0	90.95976666218259	90.92018129417933	1.7046411933996812	1.7089828292955038	/root/400083/ova_p3_tetramer_design/experiments/e290_e289_top4_af3_multiseed/out_s10/ova_body_c4_20_ms25_r03/seed-4_sample-4/ova_body_c4_20_ms25_r03_seed-4_sample-4_model.cif	ova_body_c4_20	4
ova_body_c4_06_ms25_r04	seed-1_sample-0	0.84	0.86	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,7,9	1	241	48	14	0.7368421052631579	99,191,271,276,278,341,342,343,345,346,347,349,350,354	4	0	90.66961142930342	90.58932627544502	1.5331194678955344	1.5397272988260902	/root/400083/ova_p3_tetramer_design/experiments/e289_c4_e252_clashrepair_ai_af3_seed1/out_s5/ova_body_c4_06/seed-1_sample-0/ova_body_c4_06_seed-1_sample-0_model.cif	ova_body_c4_06	1
ova_body_c4_06_ms25_r04	seed-1_sample-1	0.84	0.87	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	2,7,9	1	244	47	14	0.7368421052631579	99,191,271,276,278,341,342,343,345,346,347,349,350,354	4	0	90.63485107767767	90.53266855348578	1.5238465863524344	1.5311650512103652	/root/400083/ova_p3_tetramer_design/experiments/e289_c4_e252_clashrepair_ai_af3_seed1/out_s5/ova_body_c4_06/seed-1_sample-1/ova_body_c4_06_seed-1_sample-1_model.cif	ova_body_c4_06	1
ova_body_c4_06_ms25_r04	seed-1_sample-2	0.84	0.86	0	0	0	0	0	4	A-C,A-D,B-C,B-D	4	2	1	2	2,2	A-C,B-D|A-D,B-C	8,9	1	252	48	14	0.7368421052631579	99,191,271,276,278,341,342,343,345,346,347,349,350,354	4	0	90.72075790691869	90.62598440931251	1.5654799634428196	1.576665009489546	/root/400083/ova_p3_tetramer_design/experiments/e289_c4_e252_clashrepair_ai_af3_seed1/out_s5/ova_body_c4_06/seed-1_sample-2/ova_body_c4_06_seed-1_sample-2_model.cif	ova_body_c4_06	1
ova_body_c4_06_ms25_r04	seed-1_sample-3	0.84	0.87	0	0	0	0	0	4	A-C,A-D,B-C,B-D	4	2	1	2	2,2	A-C,B-D|A-D,B-C	8,9	1	254	49	14	0.7368421052631579	99,191,271,276,278,341,342,343,345,346,347,349,350,354	4	0	90.58429402267376	90.51499996284129	1.5767649284784735	1.5810635465802025	/root/400083/ova_p3_tetramer_design/experiments/e289_c4_e252_clashrepair_ai_af3_seed1/out_s5/ova_body_c4_06/seed-1_sample-3/ova_body_c4_06_seed-1_sample-3_model.cif	ova_body_c4_06	1
ova_body_c4_06_ms25_r04	seed-1_sample-4	0.84	0.86	0	0	0	0	0	4	A-C,A-D,B-C,B-D	4	2	1	2	2,2	A-C,B-D|A-D,B-C	7,9	1	243	47	14	0.7368421052631579	99,191,271,276,278,341,342,343,345,346,347,349,350,354	4	0	90.75496108050173	90.68746113159496	1.5620474047922281	1.5702204290743424	/root/400083/ova_p3_tetramer_design/experiments/e289_c4_e252_clashrepair_ai_af3_seed1/out_s5/ova_body_c4_06/seed-1_sample-4/ova_body_c4_06_seed-1_sample-4_model.cif	ova_body_c4_06	1
ova_body_c4_06_ms25_r04	seed-2_sample-0	0.85	0.87	0	0	0	0	0	4	A-B,A-D,B-C,C-D	4	2	1	2	2,2	A-B,C-D|A-D,B-C	9,8	1	242	47	14	0.7368421052631579	99,191,271,276,278,341,342,343,345,346,347,349,350,354	4	0	90.57099739628134	90.52893782897317	1.6186911125102847	1.6238174178641855	/root/400083/ova_p3_tetramer_design/experiments/e290_e289_top4_af3_multiseed/out_s12/ova_body_c4_06_ms25_r04/seed-2_sample-0/ova_body_c4_06_ms25_r04_seed-2_sample-0_model.cif	ova_body_c4_06	2
ova_body_c4_06_ms25_r04	seed-2_sample-1	0.85	0.88	0	0	0	0	0	4	A-B,A-D,B-C,C-D	4	2	1	2	2,2	A-B,C-D|A-D,B-C	9,7	1	251	48	14	0.7368421052631579	99,191,271,276,278,341,342,343,345,346,347,349,350,354	4	0	90.55189771108677	90.48282394013874	1.6161166585243383	1.6210633379124197	/root/400083/ova_p3_tetramer_design/experiments/e290_e289_top4_af3_multiseed/out_s12/ova_body_c4_06_ms25_r04/seed-2_sample-1/ova_body_c4_06_ms25_r04_seed-2_sample-1_model.cif	ova_body_c4_06	2
ova_body_c4_06_ms25_r04	seed-2_sample-2	0.85	0.88	0	0	0	0	0	6	A-B,A-C,A-D,B-C,B-D,C-D	4	3	1	3	2,2,2	A-B,C-D|A-C,B-D|A-D,B-C	9,2,8	1	261	49	14	0.7368421052631579	99,191,271,276,278,341,342,343,345,346,347,349,350,354	4	0	91.02339377675031	90.989948193644	1.594477658729735	1.5992040332312762	/root/400083/ova_p3_tetramer_design/experiments/e290_e289_top4_af3_multiseed/out_s12/ova_body_c4_06_ms25_r04/seed-2_sample-2/ova_body_c4_06_ms25_r04_seed-2_sample-2_model.cif	ova_body_c4_06	2
