source	chain_pair	category	unique_residue_pair_types	atom_level_events
OVA-C4-IPTM80-21C__Protenix	A-D	PiStacking	0	0
OVA-C4-IPTM80-21C__Protenix	A-D	CationPi	0	0
OVA-C4-IPTM80-21C__Protenix	A-D	VdWContact	12	26
OVA-C4-IPTM80-21C__Protenix	B-C	Hydrophobic	6	9
OVA-C4-IPTM80-21C__Protenix	B-C	HydrogenBond	0	0
OVA-C4-IPTM80-21C__Protenix	B-C	SaltBridge	0	0
OVA-C4-IPTM80-21C__Protenix	B-C	PiStacking	0	0
OVA-C4-IPTM80-21C__Protenix	B-C	CationPi	0	0
OVA-C4-IPTM80-21C__Protenix	B-C	VdWContact	12	27
OVA-C4-IPTM80-21C__Protenix	B-D	Hydrophobic	6	16
OVA-C4-IPTM80-21C__Protenix	B-D	HydrogenBond	0	0
OVA-C4-IPTM80-21C__Protenix	B-D	SaltBridge	0	0
OVA-C4-IPTM80-21C__Protenix	B-D	PiStacking	0	0
OVA-C4-IPTM80-21C__Protenix	B-D	CationPi	0	0
OVA-C4-IPTM80-21C__Protenix	B-D	VdWContact	18	85
OVA-C4-IPTM80-21C__Protenix	C-D	Hydrophobic	0	0
OVA-C4-IPTM80-21C__Protenix	C-D	HydrogenBond	0	0
OVA-C4-IPTM80-21C__Protenix	C-D	SaltBridge	0	0
OVA-C4-IPTM80-21C__Protenix	C-D	PiStacking	0	0
OVA-C4-IPTM80-21C__Protenix	C-D	CationPi	0	0
OVA-C4-IPTM80-21C__Protenix	C-D	VdWContact	1	21
OVA-C4-IPTM80-20D__AF3	A-B	Hydrophobic	8	12
OVA-C4-IPTM80-20D__AF3	A-B	HydrogenBond	2	2
OVA-C4-IPTM80-20D__AF3	A-B	SaltBridge	2	2
OVA-C4-IPTM80-20D__AF3	A-B	PiStacking	0	0
OVA-C4-IPTM80-20D__AF3	A-B	CationPi	0	0
OVA-C4-IPTM80-20D__AF3	A-B	VdWContact	10	15
OVA-C4-IPTM80-20D__AF3	A-C	Hydrophobic	7	18
OVA-C4-IPTM80-20D__AF3	A-C	HydrogenBond	7	8
OVA-C4-IPTM80-20D__AF3	A-C	SaltBridge	2	4
OVA-C4-IPTM80-20D__AF3	A-C	PiStacking	0	0
OVA-C4-IPTM80-20D__AF3	A-C	CationPi	0	0
OVA-C4-IPTM80-20D__AF3	A-C	VdWContact	29	87
OVA-C4-IPTM80-20D__AF3	A-D	Hydrophobic	2	29
OVA-C4-IPTM80-20D__AF3	A-D	HydrogenBond	0	0
OVA-C4-IPTM80-20D__AF3	A-D	SaltBridge	0	0
OVA-C4-IPTM80-20D__AF3	A-D	PiStacking	0	0
OVA-C4-IPTM80-20D__AF3	A-D	CationPi	0	0
OVA-C4-IPTM80-20D__AF3	A-D	VdWContact	11	52
OVA-C4-IPTM80-20D__AF3	B-C	Hydrophobic	2	31
OVA-C4-IPTM80-20D__AF3	B-C	HydrogenBond	0	0
OVA-C4-IPTM80-20D__AF3	B-C	SaltBridge	0	0
OVA-C4-IPTM80-20D__AF3	B-C	PiStacking	0	0
OVA-C4-IPTM80-20D__AF3	B-C	CationPi	0	0
OVA-C4-IPTM80-20D__AF3	B-C	VdWContact	10	55
OVA-C4-IPTM80-20D__AF3	B-D	Hydrophobic	7	19
OVA-C4-IPTM80-20D__AF3	B-D	HydrogenBond	8	9
OVA-C4-IPTM80-20D__AF3	B-D	SaltBridge	2	4
OVA-C4-IPTM80-20D__AF3	B-D	PiStacking	0	0
OVA-C4-IPTM80-20D__AF3	B-D	CationPi	0	0
OVA-C4-IPTM80-20D__AF3	B-D	VdWContact	30	86
OVA-C4-IPTM80-20D__AF3	C-D	Hydrophobic	7	9
OVA-C4-IPTM80-20D__AF3	C-D	HydrogenBond	2	2
OVA-C4-IPTM80-20D__AF3	C-D	SaltBridge	2	2
OVA-C4-IPTM80-20D__AF3	C-D	PiStacking	0	0
OVA-C4-IPTM80-20D__AF3	C-D	CationPi	0	0
OVA-C4-IPTM80-20D__AF3	C-D	VdWContact	10	14
OVA-C4-IPTM80-20D__Protenix	A-B	Hydrophobic	5	13
OVA-C4-IPTM80-20D__Protenix	A-B	HydrogenBond	0	0
OVA-C4-IPTM80-20D__Protenix	A-B	SaltBridge	0	0
OVA-C4-IPTM80-20D__Protenix	A-B	PiStacking	2	2
OVA-C4-IPTM80-20D__Protenix	A-B	CationPi	0	0
OVA-C4-IPTM80-20D__Protenix	A-B	VdWContact	16	71
OVA-C4-IPTM80-20D__Protenix	A-C	Hydrophobic	0	0
OVA-C4-IPTM80-20D__Protenix	A-C	HydrogenBond	1	1
OVA-C4-IPTM80-20D__Protenix	A-C	SaltBridge	2	2
OVA-C4-IPTM80-20D__Protenix	A-C	PiStacking	0	0
OVA-C4-IPTM80-20D__Protenix	A-C	CationPi	0	0
OVA-C4-IPTM80-20D__Protenix	A-C	VdWContact	2	18
OVA-C4-IPTM80-20D__Protenix	A-D	Hydrophobic	14	23
