source	chain_pair	category	unique_residue_pair_types	atom_level_events
OVA-C4-IPTM80-19B_Protenix	B-C	SaltBridge	0	0
OVA-C4-IPTM80-19B_Protenix	B-C	PiStacking	2	2
OVA-C4-IPTM80-19B_Protenix	B-C	CationPi	0	0
OVA-C4-IPTM80-19B_Protenix	B-C	VdWContact	12	41
OVA-C4-IPTM80-19B_Protenix	B-D	Hydrophobic	4	12
OVA-C4-IPTM80-19B_Protenix	B-D	HydrogenBond	0	0
OVA-C4-IPTM80-19B_Protenix	B-D	SaltBridge	1	1
OVA-C4-IPTM80-19B_Protenix	B-D	PiStacking	0	0
OVA-C4-IPTM80-19B_Protenix	B-D	CationPi	0	0
OVA-C4-IPTM80-19B_Protenix	B-D	VdWContact	17	73
OVA-C4-IPTM80-19B_Protenix	C-D	Hydrophobic	0	0
OVA-C4-IPTM80-19B_Protenix	C-D	HydrogenBond	0	0
OVA-C4-IPTM80-19B_Protenix	C-D	SaltBridge	0	0
OVA-C4-IPTM80-19B_Protenix	C-D	PiStacking	0	0
OVA-C4-IPTM80-19B_Protenix	C-D	CationPi	0	0
OVA-C4-IPTM80-19B_Protenix	C-D	VdWContact	1	6
OVA-C4-IPTM80-19C_AF3	A-B	Hydrophobic	8	12
OVA-C4-IPTM80-19C_AF3	A-B	HydrogenBond	2	2
OVA-C4-IPTM80-19C_AF3	A-B	SaltBridge	0	0
OVA-C4-IPTM80-19C_AF3	A-B	PiStacking	0	0
OVA-C4-IPTM80-19C_AF3	A-B	CationPi	0	0
OVA-C4-IPTM80-19C_AF3	A-B	VdWContact	12	25
OVA-C4-IPTM80-19C_AF3	A-C	Hydrophobic	9	14
OVA-C4-IPTM80-19C_AF3	A-C	HydrogenBond	6	6
OVA-C4-IPTM80-19C_AF3	A-C	SaltBridge	4	8
OVA-C4-IPTM80-19C_AF3	A-C	PiStacking	0	0
OVA-C4-IPTM80-19C_AF3	A-C	CationPi	0	0
OVA-C4-IPTM80-19C_AF3	A-C	VdWContact	25	76
OVA-C4-IPTM80-19C_AF3	A-D	Hydrophobic	3	23
OVA-C4-IPTM80-19C_AF3	A-D	HydrogenBond	1	1
OVA-C4-IPTM80-19C_AF3	A-D	SaltBridge	2	4
OVA-C4-IPTM80-19C_AF3	A-D	PiStacking	1	1
OVA-C4-IPTM80-19C_AF3	A-D	CationPi	0	0
OVA-C4-IPTM80-19C_AF3	A-D	VdWContact	17	57
OVA-C4-IPTM80-19C_AF3	B-C	Hydrophobic	3	23
OVA-C4-IPTM80-19C_AF3	B-C	HydrogenBond	1	1
OVA-C4-IPTM80-19C_AF3	B-C	SaltBridge	2	3
OVA-C4-IPTM80-19C_AF3	B-C	PiStacking	1	1
OVA-C4-IPTM80-19C_AF3	B-C	CationPi	0	0
OVA-C4-IPTM80-19C_AF3	B-C	VdWContact	16	58
OVA-C4-IPTM80-19C_AF3	B-D	Hydrophobic	9	14
OVA-C4-IPTM80-19C_AF3	B-D	HydrogenBond	6	6
OVA-C4-IPTM80-19C_AF3	B-D	SaltBridge	4	8
OVA-C4-IPTM80-19C_AF3	B-D	PiStacking	0	0
OVA-C4-IPTM80-19C_AF3	B-D	CationPi	0	0
OVA-C4-IPTM80-19C_AF3	B-D	VdWContact	23	68
OVA-C4-IPTM80-19C_AF3	C-D	Hydrophobic	8	12
OVA-C4-IPTM80-19C_AF3	C-D	HydrogenBond	2	2
OVA-C4-IPTM80-19C_AF3	C-D	SaltBridge	0	0
OVA-C4-IPTM80-19C_AF3	C-D	PiStacking	0	0
OVA-C4-IPTM80-19C_AF3	C-D	CationPi	0	0
OVA-C4-IPTM80-19C_AF3	C-D	VdWContact	12	27
